text,polarity,subjectivity,created_at
"Americans young and old  red and blue  watched day and night. ... We watched the wholesale dissection of a young … https://t.co/R21zG1lSbe,0.05,0.175,Mon Feb 26 13:43:26 +0000 2018)
https://t.co/CyD9QGiAPD The dubious spectacles of #MeToo.,0.0,0.0,Mon Feb 26 13:43:29 +0000 2018)
#People  Monica Lewinsky on How the MeToo Movement Has Redefined the Clinton Scandal https://t.co/PUtrLtLflq,0.0,0.0,Mon Feb 26 13:43:31 +0000 2018)
RT @cindygallop: "Now  at 44  I’m beginning (just beginning) to consider the implications of the power differentials that were so vast betw…,0.0,1.0,Mon Feb 26 13:43:32 +0000 2018)
RT @AP: South Korea president joins country's growing MeToo movement  adding momentum to recent allegations of sexual misconduct against so…,0.25,0.541666666667,Mon Feb 26 13:43:33 +0000 2018)
@smitty187 @artemis1954 @luvabletoo @alexburnsNYT @maggieNYT Clearly some of us have forgotten the truth from the e… https://t.co/kGtPwJTJsp,0.1,0.383333333333,Mon Feb 26 13:43:33 +0000 2018)
RT @VersoBooks: "Women have always  it turns out  told about sexual violence  fought it   struggled to write it and say it. Women have foug…,0.5,0.833333333333,Mon Feb 26 13:43:35 +0000 2018)
I wish MeToo actually was a little gay for me in something thinking I’m nitin gadkari;,0.0763888888889,0.394444444444,Mon Feb 26 13:43:40 +0000 2018)
Wonderfully written and thoughtful piece by @MonicaLewinsky. She is also resilience personified &lt;3 https://t.co/BedR2mAtqZ,0.7,0.75,Mon Feb 26 13:43:42 +0000 2018)
Speaking of Clinton &amp; Monica  my latest @NewYorker piece is up this am: Jerry Nadler  Trump's would-be impeacher  h… https://t.co/Jr4DfSTrlg,0.5,0.9,Mon Feb 26 13:43:45 +0000 2018)
RT @golrizghahraman: Being part of the problem on campus in a post #metoo world: proving your manhood doesn’t require super gross women are…,0.166666666667,0.333333333333,Mon Feb 26 13:43:46 +0000 2018)
RT @SRuhle: If you read one thing today  MAKE IT THIS 👇👇   #onething https://t.co/JraYCB1ECp,0.0,0.0,Mon Feb 26 13:43:49 +0000 2018)
Monica Lewinsky  20 years later  in her own words - for @VanityFair. Such an interesting read during this new and t… https://t.co/I4h2kD5BAb,0.247272727273,0.490909090909,Mon Feb 26 13:43:50 +0000 2018)
@JackPosobiec Hey new @NRA members---

I just discovered your own "MeToo" movement!👇👇

#IJoinedtheNRA https://t.co/NX5qzb7O2Y,0.368181818182,0.727272727273,Mon Feb 26 13:43:50 +0000 2018)
lol Hillary Clinton...started all that Trump did this Trump did that...
Now Monica Lewinsky on the #MeToo I'd be pisssst.....,0.8,0.7,Mon Feb 26 13:43:51 +0000 2018)
Monica Lewinsky: Emerging from “the House of Gaslight” in the Age of #MeToo https://t.co/b3H2Ixdgd6. National TV ap… https://t.co/7TgwobPTmr,0.0,0.0,Mon Feb 26 13:43:53 +0000 2018)
Can't stop thinking about this graf in @MonicaLewinsky's essay https://t.co/MjmIOsd8ts https://t.co/OqWuchUII6,0.0,0.0,Mon Feb 26 13:43:54 +0000 2018)
#Oxfam is at the #centrecore of a #storm for #oxfamscandal #behavioural #abuse #Recruitment #management #Coverup  … https://t.co/7Jck5OtwxG,0.0,0.0,Mon Feb 26 13:44:04 +0000 2018)
RT @adryenn: From #metoo to loving our femininity: a video convo https://t.co/uxHt2yOsQL #timesup #womenintech #genderequality @aposner @ra…,0.6,0.95,Mon Feb 26 13:44:05 +0000 2018)
RT @Global_ErinH: Tired of all-male panels  all-male sources  all-male citations? #metoo

Check out and spread the word about @shesource  a…,-0.4,0.7,Mon Feb 26 13:44:06 +0000 2018)
Monica Lewinsky: Emerging from “the House of Gaslight” in the Age of #MeToo https://t.co/ZNrT4Nb1Ya,0.0,0.0,Mon Feb 26 13:44:08 +0000 2018)
RT @John3_and_16: @JackPosobiec Hey new @NRA members---

I just discovered your own "MeToo" movement!👇👇

#IJoinedtheNRA https://t.co/NX5qzb…,0.368181818182,0.727272727273,Mon Feb 26 13:44:12 +0000 2018)
RT @davidicke: Rotherham child abuse scandal is so big that police need another 100 officers to work on investigation which has already cos…,0.0,0.1,Mon Feb 26 13:44:16 +0000 2018)
RT @Dr_Kaco: @mike_Zollo Mike...#MeToo 
😂😂😂🤣🤣

FRONT RUNNERS,0.0,0.0,Mon Feb 26 13:44:20 +0000 2018)
@DomDavison Liberals sat up here &amp; publicly shamed every person who dared to challenge the authenticity of a woman'… https://t.co/n3tFkPQ8AF,0.0,0.0666666666667,Mon Feb 26 13:44:21 +0000 2018)
RT @ggreenwald: I find @MonicaLewinsky endlessly impressive and admirable in how she's found her public voice and reclaimed her public iden…,0.333333333333,0.377777777778,Mon Feb 26 13:44:23 +0000 2018)
RT @MonicaLewinsky: Me on #MeToo #Timesup (...and some other thoughts) for @VanityFair @VFHIVE https://t.co/u9Ta13RWqB,-0.125,0.375,Mon Feb 26 13:44:23 +0000 2018)
RT @ggreenwald: I find @MonicaLewinsky endlessly impressive and admirable in how she's found her public voice and reclaimed her public iden…,0.333333333333,0.377777777778,Mon Feb 26 13:44:24 +0000 2018)
So basically because I was a young Native woman writer who refused to participate in particular dynamics I was scap… https://t.co/rDneo3TeJa,0.133333333333,0.366666666667,Mon Feb 26 13:44:25 +0000 2018)
RT @MonicaLewinsky: Me on #MeToo #Timesup (...and some other thoughts) for @VanityFair @VFHIVE https://t.co/u9Ta13RWqB,-0.125,0.375,Mon Feb 26 13:44:25 +0000 2018)
RT @MonicaLewinsky: Me on #MeToo #Timesup (...and some other thoughts) for @VanityFair @VFHIVE https://t.co/u9Ta13RWqB,-0.125,0.375,Mon Feb 26 13:44:26 +0000 2018)
RT @VanityFair: Twenty years after Ken Starr’s investigation  @MonicaLewinsky reflects on the events of 1998 and why she  too  supports #Me…,0.0,0.0,Mon Feb 26 13:44:29 +0000 2018)
RT @QueenMab87: When men lecture you on sexual harassment and how to support women. Apparently the way to do that is to blame women for men…,0.275,0.591666666667,Mon Feb 26 13:44:30 +0000 2018)
RT @ggreenwald: I find @MonicaLewinsky endlessly impressive and admirable in how she's found her public voice and reclaimed her public iden…,0.333333333333,0.377777777778,Mon Feb 26 13:44:32 +0000 2018)
RT @Global_ErinH: Tired of all-male panels  all-male sources  all-male citations? #metoo

Check out and spread the word about @shesource  a…,-0.4,0.7,Mon Feb 26 13:44:34 +0000 2018)
RT @IanPhilTrait: Lawless London: Rapes surge by almost 20% https://t.co/6VgsseYrQC
You're only seeing the tip of the iceberg rn.
It's goin…,0.0,1.0,Mon Feb 26 13:44:35 +0000 2018)
I  too  am so sorry you were so alone @MonicaLewinsky. What a brave and wonderfully written piece. https://t.co/nPXr3aByZd,0.433333333333,1.0,Mon Feb 26 13:44:35 +0000 2018)
No crying Bogus POTUS. Leave cyanide cap at home.
Ask Mueller for protective custody so can rat Putin/Oligarchs/Maf… https://t.co/oCdVZKCPOu,0.1,0.6,Mon Feb 26 13:44:36 +0000 2018)
Nuh uh  no she can't https://t.co/mJKtZq8Zet,0.0,0.0,Mon Feb 26 13:44:37 +0000 2018)
RT @ggreenwald: I find @MonicaLewinsky endlessly impressive and admirable in how she's found her public voice and reclaimed her public iden…,0.333333333333,0.377777777778,Mon Feb 26 13:44:38 +0000 2018)
RT @publiclibnews: Why it's important to report it if there is any sexual harassment in a library.  https://t.co/KCVTmXOsw9,0.45,0.916666666667,Mon Feb 26 13:44:38 +0000 2018)
RT @ggreenwald: I find @MonicaLewinsky endlessly impressive and admirable in how she's found her public voice and reclaimed her public iden…,0.333333333333,0.377777777778,Mon Feb 26 13:44:41 +0000 2018)
RT @KoreaExpose: While the #MeToo movement rages on in South Korea  a convicted rapist was quietly released from jail in the city of Daejeo…,-0.05,0.166666666667,Mon Feb 26 13:44:42 +0000 2018)
