text,polarity,subjectivity,created_at
RT @EamonReilly_com: "#PROCHOICE LINGO FOR DUMMIES (A #PROLIFE WORK)" by @EamonReilly_Com https://t.co/vQecaGxNzf #8Committee #EightAmendme…,0.0,0.0,Mon May 07 19:25:32 +0000 2018)
RT @Savethe8thInfo: You might see these NEW posters going up around your area #savethe8th #votenotoabortion https://t.co/gbrEc49yET,0.136363636364,0.454545454545,Mon May 07 19:25:36 +0000 2018)
RT @EamonReilly_com: #Prochoice Lingo for Dummies https://t.co/0RGDmVuhcU #Savethe8th #Save8rally #prolife #loveboth #Whywemarch #marchforl…,0.0,0.0,Mon May 07 19:25:43 +0000 2018)
RT @ShoreRoad94: Well said Mo Chara! #Savethe8th https://t.co/HPCaxHdIDW,0.0,0.0,Mon May 07 19:25:44 +0000 2018)
RT @EamonReilly_com: #repealthe8th #prochoice “logic” for Dummies https://t.co/N3sM5vfP0X #PPSellsBabyParts #Gosnell #DefundPP #DefundPlann…,0.0,0.0,Mon May 07 19:26:02 +0000 2018)
RT @EamonReilly_com: I wonder if we can get “Prochoice Logic for Dummies” to 1000 views before this (3rd) day is out https://t.co/N3sM5vfP0…,0.0,0.0,Mon May 07 19:26:08 +0000 2018)
RT @Savethe8thInfo: Mary Escato  nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May…,0.25,0.25,Mon May 07 19:26:08 +0000 2018)
RT @EamonReilly_com: #REPEALTHE8TH #PROCHOICE "LOGIC" FOR DUMMIES" by @EamonReilly_Com https://t.co/nITD6pi418 #SaveThe8th #Save8Rally #Pro…,0.0,0.0,Mon May 07 19:26:19 +0000 2018)
RT @EamonReilly_com: #repealthe8th #prochoice logic for dummies https://t.co/N3sM5vfP0X #savethe8th #save8rally #prolife #loveboth #LoveBot…,0.0,0.0,Mon May 07 19:26:29 +0000 2018)
RT @EmmaMurphy12150: Look at the lads...

😉

#8thref #Savethe8th #Repealthe8th #Together4Yes #LoveBothVoteNo

https://t.co/zoSEIBHVyM,0.0,0.0,Mon May 07 19:26:40 +0000 2018)
RT @POLITICSandFUN: DO YOU SEE THE CONFLICT &amp; TOTAL HYPOCRISY??  I SURE DO.

Women Marching To Support Women Who Demand The Freedom To Kill…,0.25,0.819444444444,Mon May 07 19:26:41 +0000 2018)
RT @Savethe8thInfo: Everyone deserves a chance at life. Stop calling for abortion for women who don't have resources. Instead provide the r…,0.0,0.0,Mon May 07 19:26:42 +0000 2018)
RT @EamonReilly_com: "HOW TO #REPEALTHE8TH FOR DUMMIES" by @EamonReilly_Com https://t.co/k0qdDgw4Ix #prolife #SaveThe8th #AbolishAbortionGl…,0.0,0.0,Mon May 07 19:27:05 +0000 2018)
RT @EamonReilly_com: "HOW TO #REPEALTHE8TH FOR DUMMIES" by @EamonReilly_Com https://t.co/k0qdDgw4Ix #Savethe8th #Loveboth #Lovebothmyarse #…,0.0,0.0,Mon May 07 19:27:10 +0000 2018)
RT @EamonReilly_com: How to #repealthe8th for dummies https://t.co/GLggzlC0oC #Savethe8th #Save8rally #prolife #whywemarch #marchforlife ht…,0.0,0.0,Mon May 07 19:27:15 +0000 2018)
RT @john_mcguirk: If you are an undecided voter  or know an undecided voter  take  or ask them to take  3 and a half minutes to listen to M…,-0.166666666667,0.166666666667,Mon May 07 19:27:19 +0000 2018)
RT @EamonReilly_com: "HOW TO #REPEALTHE8TH FOR DUMMIES 2 ( prolife work)" by @EamonReilly_Com https://t.co/EYZgtThm9z #rtept #LOVEBOTHVOTEN…,0.0,0.0,Mon May 07 19:27:26 +0000 2018)
RT @EamonReilly_com: "HOW TO #REPEALTHE8TH FOR DUMMIES 2 ( prolife work)" by @EamonReilly_Com https://t.co/EYZgtThm9z DON'T USE YOUR #Votes…,0.0,0.0,Mon May 07 19:27:32 +0000 2018)
RT @Joy_Villa: Inspirational and powerful! #Savethe8th #chooselife https://t.co/HmdQLqzzCs,0.4375,1.0,Mon May 07 19:27:35 +0000 2018)
RT @Savethe8thInfo: Peadar Tóibín  TD  Meath West  explaining how future generations will be saved by the 8th amendment. Speaking at the GP…,0.0,0.125,Mon May 07 19:27:56 +0000 2018)
@brianmurphycllr blamed also if the NO's prevail. #SaveThe8th,0.0,0.0,Mon May 07 19:27:58 +0000 2018)
RT @EamonReilly_com: Long after we #savethe8th we will remember all who brought us to the Darkest Day in the history of Ireland and watch t…,-0.05,0.4,Mon May 07 19:28:10 +0000 2018)
Ellen  nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May.… https://t.co/u5x5GGbm7N,0.25,0.25,Mon May 07 19:28:11 +0000 2018)
RT @Savethe8thInfo: Mary Escato  nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May…,0.25,0.25,Mon May 07 19:28:14 +0000 2018)
@thejournal_ie If we #repealthe8th and our abortion rate starts to mirror that of the UK  then we will soon see aro… https://t.co/ooCzfIZFWG,0.0,0.0,Mon May 07 19:28:16 +0000 2018)
RT @EamonReilly_com: Good Friday was the Darkest Day too but it all turned out well when were saved then too so let’s #savethe8th #GoodFrid…,0.7,0.6,Mon May 07 19:28:21 +0000 2018)
RT @MandyGall7: Bishop says ‘culture of abortion’ would be ‘horrendous’ https://t.co/0ms9GfoJSO

Hear  Hear.

#SaveThe8th 
#8thref,0.0,0.0,Mon May 07 19:28:26 +0000 2018)
RT @ExposeMediaBias: @NewstalkFM #fakenews. After we #savethe8th they’re going down with the rest of you https://t.co/wvmYnty79h,-0.155555555556,0.288888888889,Mon May 07 19:28:28 +0000 2018)
RT @EamonReilly_com: Let’s get this #DarkestDay #knowyourrepealers #Blacklist to 4 000 views today. https://t.co/auPFIW2avK Then #savethe8t…,0.0,0.0,Mon May 07 19:28:34 +0000 2018)
RT @POLITICSandFUN: DO YOU SEE THE CONFLICT &amp; TOTAL HYPOCRISY??  I SURE DO.

Women Marching To Support Women Who Demand The Freedom To Kill…,0.25,0.819444444444,Mon May 07 19:28:38 +0000 2018)
RT @Savethe8thInfo: Ellen  nurse  supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May. More…,0.25,0.25,Mon May 07 19:28:40 +0000 2018)
RT @EamonReilly_com: "THE DARKEST DAY IN THE HISTORY OF IRELAND" by @EamonReilly_Com https://t.co/auPFIW2avK #SaveThe8th #Save8Rally #ProLi…,0.0,0.0,Mon May 07 19:28:44 +0000 2018)
RT @Savethe8thInfo: Spending the #BankHolidayMonday saving lives in the sun. #SaveThe8th #8thref #votenotoabortion https://t.co/6Nbgjb97Hy,0.0,0.0,Mon May 07 19:28:58 +0000 2018)
RT @TheLoneHurler: This is the "compassion" and "care" offered by #RepealThe8th - they don't care about women one iota. They are agenda pus…,0.0,0.0,Mon May 07 19:29:07 +0000 2018)
RT @MandyGall7: Bishop says ‘culture of abortion’ would be ‘horrendous’ https://t.co/0ms9GfoJSO

Hear  Hear.

#SaveThe8th 
#8thref,0.0,0.0,Mon May 07 19:29:08 +0000 2018)
RT @ceilesmammy: What a delightful human being #savethe8th #8thRef #LoveBothVoteNO #votenotoabortion https://t.co/ccaLhnMduB,0.5,0.55,Mon May 07 19:29:37 +0000 2018)
RT @EamonReilly_com: Let's #SaveThe8th and also lets #MakeTheUKprolifeAGAIN https://t.co/A87o7LKho5 #MakeAmericaProlifeAgain #MakeCanadaPro…,0.0,0.0,Mon May 07 19:29:40 +0000 2018)
RT @EamonReilly_com: I will never apologise for being both #Catholic and #Prolife https://t.co/zUkU4iG0Kl #SaveThe8th #ProLifeWalkout #Love…,0.0,0.1,Mon May 07 19:29:51 +0000 2018)
RT @declanganley: From 10 a.m. until 3 p.m. on Tuesday the 8th @GalwayCityCo will have a member of the Gardaí at City Hall to sign voter re…,0.0,0.0,Mon May 07 19:30:01 +0000 2018)
RT @Savethe8thInfo: Marie Donnelly supporting the statement of over 130 Nurses and Midwives and why they are Voting No on the 25th May. Mor…,0.25,0.25,Mon May 07 19:30:04 +0000 2018)
RT @EamonReilly_com: It’s a long shot BUT can we get this to 1000 views today? 🤔 https://t.co/WcPmpN8Hv2 #SaveThe8th #Save8Rally #MakeAmeri…,-0.05,0.4,Mon May 07 19:30:05 +0000 2018)
RT @EamonReilly_com: Make America Prolife Again https://t.co/WcPmpN8Hv2 #prolife #MakeAmericaProlifeAgain #USA #AbolishAbortionGlobally #Sa…,0.0,0.0,Mon May 07 19:30:09 +0000 2018)
